fold,test_groups,arima_order,garch_order,aic,bic
1,"(0, 1, 2)","(0, 0, 0)","(1, 1)",-1224158.1321007651,-1224119.4317874552
2,"(0, 1, 3)","(0, 0, 0)","(1, 1)",-1228693.0586178114,-1228654.377909626
3,"(0, 1, 4)","(0, 0, 0)","(1, 1)",-1218599.3484464532,-1218560.667738268
4,"(0, 1, 5)","(0, 0, 0)","(1, 1)",-1224287.1967480553,-1224248.51603987
5,"(0, 1, 6)","(0, 0, 0)","(1, 1)",-1225892.5924435763,-1225853.911735391
6,"(0, 1, 7)","(0, 0, 0)","(1, 1)",-1227569.7105033894,-1227531.0297610248
7,"(0, 1, 8)","(0, 0, 0)","(1, 1)",-1213738.7129892441,-1213700.0322468795
8,"(0, 1, 9)","(0, 0, 0)","(1, 1)",-1214524.832343452,-1214486.1418036453
9,"(0, 2, 3)","(0, 0, 0)","(1, 1)",-1211775.4598658674,-1211736.779157682
10,"(0, 2, 4)","(0, 0, 0)","(1, 1)",-1196632.437637923,-1196593.776631426
11,"(0, 2, 5)","(0, 0, 0)","(1, 1)",-1201891.3222672916,-1201852.6612607946
12,"(0, 2, 6)","(0, 0, 0)","(1, 1)",-1203366.5668938211,-1203327.9058873241
13,"(0, 2, 7)","(0, 0, 0)","(1, 1)",-1205023.6107233975,-1204984.9496825524
14,"(0, 2, 8)","(0, 0, 0)","(1, 1)",-1192151.5814213923,-1192112.9203805472
15,"(0, 2, 9)","(0, 0, 0)","(1, 1)",-1193130.733754041,-1193092.0628674382
16,"(0, 3, 4)","(0, 0, 0)","(1, 1)",-1212430.6940764652,-1212392.01336828
17,"(0, 3, 5)","(0, 0, 0)","(1, 1)",-1212019.2061858084,-1211980.5451793114
18,"(0, 3, 6)","(0, 0, 0)","(1, 1)",-1213578.2499526336,-1213539.5889461366
19,"(0, 3, 7)","(0, 0, 0)","(1, 1)",-1215248.535560898,-1215209.874520053
20,"(0, 3, 8)","(0, 0, 0)","(1, 1)",-1201753.7410070274,-1201715.0799661824
21,"(0, 3, 9)","(0, 0, 0)","(1, 1)",-1202607.9705569968,-1202569.299670394
22,"(0, 4, 5)","(0, 0, 0)","(1, 1)",-1208924.2289258458,-1208885.5482176605
23,"(0, 4, 6)","(0, 0, 0)","(1, 1)",-1203905.7002776333,-1203867.0392711363
24,"(0, 4, 7)","(0, 0, 0)","(1, 1)",-1205557.0829734886,-1205518.4219326435
25,"(0, 4, 8)","(0, 0, 0)","(1, 1)",-1192671.3959508992,-1192632.7349100541
26,"(0, 4, 9)","(0, 0, 0)","(1, 1)",-1193644.0461662416,-1193605.375279639
27,"(0, 5, 6)","(0, 0, 0)","(1, 1)",-1215234.9160066012,-1215196.2352984159
28,"(0, 5, 7)","(0, 0, 0)","(1, 1)",-1211035.8177997682,-1210997.156758923
29,"(0, 5, 8)","(0, 0, 0)","(1, 1)",-1197816.3669154444,-1197777.7058745993
30,"(0, 5, 9)","(0, 0, 0)","(1, 1)",-1198729.1826641893,-1198690.5117775865
31,"(0, 6, 7)","(0, 0, 0)","(1, 1)",-1218496.3250268172,-1218457.6442844525
32,"(0, 6, 8)","(0, 0, 0)","(1, 1)",-1199249.6700350756,-1199211.0089942305
33,"(0, 6, 9)","(0, 0, 0)","(1, 1)",-1200141.1834076294,-1200102.5125210267
34,"(0, 7, 8)","(0, 0, 0)","(1, 1)",-1206946.7701046327,-1206908.0893280888
35,"(0, 7, 9)","(0, 0, 0)","(1, 1)",-1201750.7119505587,-1201712.0410296924
36,"(0, 8, 9)","(0, 0, 0)","(1, 1)",-1195525.3250026673,-1195486.6344287652
37,"(1, 2, 3)","(0, 0, 0)","(1, 1)",-1227796.3179469183,-1227757.6274412074
38,"(1, 2, 4)","(0, 0, 0)","(1, 1)",-1212058.6359736258,-1212019.9651212867
39,"(1, 2, 5)","(0, 0, 0)","(1, 1)",-1217641.4729556867,-1217602.8021033476
40,"(1, 2, 6)","(0, 0, 0)","(1, 1)",-1219221.3332124455,-1219182.6623601064
41,"(1, 2, 7)","(0, 0, 0)","(1, 1)",-1220914.9798909428,-1220876.30900434
42,"(1, 2, 8)","(0, 0, 0)","(1, 1)",-1207293.0944046676,-1207254.423518065
43,"(1, 2, 9)","(0, 0, 0)","(1, 1)",-1208133.7046036057,-1208095.0238954204
44,"(1, 3, 4)","(0, 0, 0)","(1, 1)",-1222366.3027319433,-1222327.6318796042
45,"(1, 3, 5)","(0, 0, 0)","(1, 1)",-1222298.9540896895,-1222260.302987763
46,"(1, 3, 6)","(0, 0, 0)","(1, 1)",-1223967.5641835744,-1223928.9130816478
47,"(1, 3, 7)","(0, 0, 0)","(1, 1)",-1225656.5020779253,-1225617.8509415654
48,"(1, 3, 8)","(0, 0, 0)","(1, 1)",-1211391.6201573252,-1211352.9690209653
49,"(1, 3, 9)","(0, 0, 0)","(1, 1)",-1212093.4123090566,-1212054.7513025596
50,"(1, 4, 5)","(0, 0, 0)","(1, 1)",-1218621.3799507911,-1218582.709098452
