fold,test_groups,arima_order,garch_order,aic,bic
1,"(0, 1)","(0, 0, 0)","(1, 2)",-1137254.080790409,-1137205.971218459
2,"(0, 2)","(0, 0, 0)","(1, 2)",-1132012.3703825788,-1131964.2866586107
3,"(0, 3)","(0, 0, 0)","(1, 2)",-1125373.2960228438,-1125325.2122988757
4,"(0, 4)","(0, 0, 0)","(1, 2)",-1133695.3454490728,-1133647.2616800356
5,"(0, 5)","(0, 0, 0)","(1, 2)",-1118545.0914478498,-1118496.9947607114
6,"(1, 2)","(0, 0, 0)","(1, 2)",-1127924.4077675424,-1127876.311125357
7,"(1, 3)","(0, 0, 0)","(1, 2)",-1115633.6188650774,-1115585.5481379759
8,"(1, 4)","(0, 0, 0)","(1, 2)",-1123776.8088560242,-1123728.738083736
9,"(1, 5)","(0, 0, 0)","(1, 2)",-1109160.606513674,-1109112.5227897058
10,"(2, 3)","(0, 0, 0)","(1, 2)",-1122372.8104132225,-1122324.713771037
11,"(2, 4)","(0, 0, 0)","(1, 2)",-1124511.162707996,-1124463.091935708
12,"(2, 5)","(0, 0, 0)","(1, 2)",-1109868.156426569,-1109820.0727026009
13,"(3, 4)","(0, 0, 0)","(1, 2)",-1123812.0991508805,-1123764.0024637422
14,"(3, 5)","(0, 0, 0)","(1, 2)",-1103838.6507103692,-1103790.566986401
15,"(4, 5)","(0, 0, 0)","(1, 2)",-1116879.2666997148,-1116831.157082928
