fold,test_groups,arima_order,garch_order,aic,bic
1,"(0, 1)","(0, 0, 0)","(1, 2)",-1135751.2916371124,-1135703.1890197345
2,"(0, 2)","(0, 0, 0)","(1, 2)",-1130482.318245274,-1130434.2415119486
3,"(0, 3)","(0, 0, 0)","(1, 2)",-1123992.3405084962,-1123944.2637751708
4,"(0, 4)","(0, 0, 0)","(1, 2)",-1132374.9825210678,-1132326.9057877425
5,"(0, 5)","(0, 0, 0)","(1, 2)",-1116983.7102919242,-1116935.6205773153
6,"(1, 2)","(0, 0, 0)","(1, 2)",-1126498.791043368,-1126450.701328759
7,"(1, 3)","(0, 0, 0)","(1, 2)",-1114367.6567457975,-1114319.5930275463
8,"(1, 4)","(0, 0, 0)","(1, 2)",-1122575.393475404,-1122527.3297571528
9,"(1, 5)","(0, 0, 0)","(1, 2)",-1107713.2325187747,-1107665.1557854493
10,"(2, 3)","(0, 0, 0)","(1, 2)",-1120926.756140547,-1120878.666380923
11,"(2, 4)","(0, 0, 0)","(1, 2)",-1123106.5324724258,-1123058.4687089247
12,"(2, 5)","(0, 0, 0)","(1, 2)",-1108237.4135037556,-1108189.336725298
13,"(3, 4)","(0, 0, 0)","(1, 2)",-1122508.654665858,-1122460.564906234
14,"(3, 5)","(0, 0, 0)","(1, 2)",-1102343.6770256164,-1102295.600247159
15,"(4, 5)","(0, 0, 0)","(1, 2)",-1115417.9288472473,-1115369.8261400715
