fold,test_groups,arima_order,garch_order,aic,bic
1,"(0, 1)","(0, 0, 0)","(1, 1)",-1164804.7418126727,-1164766.2426575068
2,"(0, 2)","(0, 0, 0)","(1, 1)",-1160756.4102871655,-1160717.9317508794
3,"(0, 3)","(0, 0, 0)","(1, 1)",-1163867.2718049113,-1163828.7932686252
4,"(0, 4)","(0, 0, 0)","(1, 1)",-1161331.1274191341,-1161292.648882848
5,"(0, 5)","(0, 0, 0)","(1, 1)",-1145830.3705614088,-1145791.881684468
6,"(1, 2)","(0, 0, 0)","(1, 1)",-1154355.0954740369,-1154316.606597096
7,"(1, 3)","(0, 0, 0)","(1, 1)",-1151371.651249269,-1151333.1830804392
8,"(1, 4)","(0, 0, 0)","(1, 1)",-1149035.3375520601,-1148996.8693832303
9,"(1, 5)","(0, 0, 0)","(1, 1)",-1134312.5222588456,-1134274.0437225595
10,"(2, 3)","(0, 0, 0)","(1, 1)",-1159926.292765181,-1159887.8038523817
11,"(2, 4)","(0, 0, 0)","(1, 1)",-1150920.9488017573,-1150882.4805968828
12,"(2, 5)","(0, 0, 0)","(1, 1)",-1136054.0649369862,-1136015.5863647487
13,"(3, 4)","(0, 0, 0)","(1, 1)",-1160235.7377865529,-1160197.2488737535
14,"(3, 5)","(0, 0, 0)","(1, 1)",-1138798.8137805092,-1138760.3352082716
15,"(4, 5)","(0, 0, 0)","(1, 1)",-1143082.3062305038,-1143043.8070038054
