fold,test_groups,arima_order,garch_order,aic,bic
1,"(0, 1, 2, 3, 4)","(0, 0, 0)","(1, 2)",-858332.3935092435,-858285.7238573966
2,"(0, 1, 2, 3, 5)","(0, 0, 0)","(1, 2)",-852984.83787283,-852938.1969479052
3,"(0, 1, 2, 3, 6)","(0, 0, 0)","(1, 2)",-855597.1380684794,-855550.4971435546
4,"(0, 1, 2, 3, 7)","(0, 0, 0)","(1, 2)",-859553.0994233595,-859506.4584984347
5,"(0, 1, 2, 3, 8)","(0, 0, 0)","(1, 2)",-850986.1540606903,-850939.5131357656
6,"(0, 1, 2, 3, 9)","(0, 0, 0)","(1, 2)",-846584.6686351354,-846538.0133561051
7,"(0, 1, 2, 4, 5)","(0, 0, 0)","(1, 2)",-845244.336827521,-845197.6958424513
8,"(0, 1, 2, 4, 6)","(0, 0, 0)","(1, 2)",-842767.9950877182,-842721.3829952236
9,"(0, 1, 2, 4, 7)","(0, 0, 0)","(1, 2)",-846619.6148791226,-846573.002786628
10,"(0, 1, 2, 4, 8)","(0, 0, 0)","(1, 2)",-838347.5954823068,-838300.9833898122
11,"(0, 1, 2, 4, 9)","(0, 0, 0)","(1, 2)",-834286.6378406695,-834240.0113111772
12,"(0, 1, 2, 5, 6)","(0, 0, 0)","(1, 2)",-846915.2667454573,-846868.6257603876
13,"(0, 1, 2, 5, 7)","(0, 0, 0)","(1, 2)",-845986.4781238534,-845939.8660313588
14,"(0, 1, 2, 5, 8)","(0, 0, 0)","(1, 2)",-837746.4973231852,-837699.8852306906
15,"(0, 1, 2, 5, 9)","(0, 0, 0)","(1, 2)",-833707.3559615787,-833660.7294320863
16,"(0, 1, 2, 6, 7)","(0, 0, 0)","(1, 2)",-853352.1241506584,-853305.4831655887
17,"(0, 1, 2, 6, 8)","(0, 0, 0)","(1, 2)",-840234.4629459113,-840187.8508534167
18,"(0, 1, 2, 6, 9)","(0, 0, 0)","(1, 2)",-836091.1495570963,-836044.523027604
19,"(0, 1, 2, 7, 8)","(0, 0, 0)","(1, 2)",-848966.0749261928,-848919.4339411231
20,"(0, 1, 2, 7, 9)","(0, 0, 0)","(1, 2)",-839712.4587039956,-839665.8321745032
21,"(0, 1, 2, 8, 9)","(0, 0, 0)","(1, 2)",-837032.3282851558,-836985.672946153
22,"(0, 1, 3, 4, 5)","(0, 0, 0)","(1, 2)",-851648.7320280727,-851602.091043003
23,"(0, 1, 3, 4, 6)","(0, 0, 0)","(1, 2)",-849230.8363588705,-849184.2242663759
24,"(0, 1, 3, 4, 7)","(0, 0, 0)","(1, 2)",-853159.4077114749,-853112.7956189803
