fold,test_groups,arima_order,garch_order,aic,bic
1,"(0, 1, 2, 3, 4)","(0, 0, 0)","(1, 1)",-878137.6403326395,-878100.287568428
2,"(0, 1, 2, 3, 5)","(0, 0, 0)","(1, 1)",-879071.3858757131,-879034.0559950506
3,"(0, 1, 2, 3, 6)","(0, 0, 0)","(1, 1)",-880687.9179324118,-880650.5880517493
4,"(0, 1, 2, 3, 7)","(0, 0, 0)","(1, 1)",-882429.0775087558,-882391.7475801831
5,"(0, 1, 2, 3, 8)","(0, 0, 0)","(1, 1)",-868227.4189501887,-868190.0890216159
6,"(0, 1, 2, 3, 9)","(0, 0, 0)","(1, 1)",-868409.7909543483,-868372.4495916604
7,"(0, 1, 2, 4, 5)","(0, 0, 0)","(1, 1)",-869498.2047047422,-869460.8748240797
8,"(0, 1, 2, 4, 6)","(0, 0, 0)","(1, 1)",-865568.3659238318,-865531.059058386
9,"(0, 1, 2, 4, 7)","(0, 0, 0)","(1, 1)",-867302.9094850933,-867265.6025714609
10,"(0, 1, 2, 4, 8)","(0, 0, 0)","(1, 1)",-853971.0632290468,-853933.7563154143
11,"(0, 1, 2, 4, 9)","(0, 0, 0)","(1, 1)",-854334.5722147989,-854297.2538011675
12,"(0, 1, 2, 5, 6)","(0, 0, 0)","(1, 1)",-876281.0835919383,-876243.7537112758
13,"(0, 1, 2, 5, 7)","(0, 0, 0)","(1, 1)",-873056.3356304044,-873019.028716772
14,"(0, 1, 2, 5, 8)","(0, 0, 0)","(1, 1)",-859239.7939893072,-859202.4870756748
15,"(0, 1, 2, 5, 9)","(0, 0, 0)","(1, 1)",-859512.3128600686,-859474.9944464372
16,"(0, 1, 2, 6, 7)","(0, 0, 0)","(1, 1)",-879457.315083896,-879419.9851553233
17,"(0, 1, 2, 6, 8)","(0, 0, 0)","(1, 1)",-860674.0917542531,-860636.7848406207
18,"(0, 1, 2, 6, 9)","(0, 0, 0)","(1, 1)",-860914.5808257185,-860877.2624120871
19,"(0, 1, 2, 7, 8)","(0, 0, 0)","(1, 1)",-867480.9861559161,-867443.6561794337
20,"(0, 1, 2, 7, 9)","(0, 0, 0)","(1, 1)",-862587.7225853989,-862550.4041237198
21,"(0, 1, 2, 8, 9)","(0, 0, 0)","(1, 1)",-855077.2386405191,-855039.8972300583
22,"(0, 1, 3, 4, 5)","(0, 0, 0)","(1, 1)",-880280.5601259553,-880243.2302452928
23,"(0, 1, 3, 4, 6)","(0, 0, 0)","(1, 1)",-876436.1918347079,-876398.884969262
24,"(0, 1, 3, 4, 7)","(0, 0, 0)","(1, 1)",-878165.6923813937,-878128.3854677613
25,"(0, 1, 3, 4, 8)","(0, 0, 0)","(1, 1)",-863929.7196699348,-863892.4127563024
26,"(0, 1, 3, 4, 9)","(0, 0, 0)","(1, 1)",-864099.1799524089,-864061.8615387775
27,"(0, 1, 3, 5, 6)","(0, 0, 0)","(1, 1)",-882677.5481426762,-882640.2412772304
28,"(0, 1, 3, 5, 7)","(0, 0, 0)","(1, 1)",-879434.5729112474,-879397.2891457437
29,"(0, 1, 3, 5, 8)","(0, 0, 0)","(1, 1)",-864683.5120255785,-864646.2282600749
30,"(0, 1, 3, 5, 9)","(0, 0, 0)","(1, 1)",-864745.2684365811,-864707.9731044312
31,"(0, 1, 3, 6, 7)","(0, 0, 0)","(1, 1)",-885926.4537120119,-885889.1467983795
32,"(0, 1, 3, 6, 8)","(0, 0, 0)","(1, 1)",-866237.2085535849,-866199.9247880812
33,"(0, 1, 3, 6, 9)","(0, 0, 0)","(1, 1)",-866260.7470691168,-866223.4517369668
34,"(0, 1, 3, 7, 8)","(0, 0, 0)","(1, 1)",-873056.0650970818,-873018.7581352632
35,"(0, 1, 3, 7, 9)","(0, 0, 0)","(1, 1)",-867941.315525358,-867904.0201448823
36,"(0, 1, 3, 8, 9)","(0, 0, 0)","(1, 1)",-859601.4380777107,-859564.1196160315
37,"(0, 1, 4, 5, 6)","(0, 0, 0)","(1, 1)",-877346.0298338275,-877308.699953165
38,"(0, 1, 4, 5, 7)","(0, 0, 0)","(1, 1)",-874118.6357908265,-874081.3288771941
39,"(0, 1, 4, 5, 8)","(0, 0, 0)","(1, 1)",-860228.9658575836,-860191.6589439511
40,"(0, 1, 4, 5, 9)","(0, 0, 0)","(1, 1)",-860482.9828736546,-860445.6644600232
41,"(0, 1, 4, 6, 7)","(0, 0, 0)","(1, 1)",-875058.899905295,-875021.5929916626
42,"(0, 1, 4, 6, 8)","(0, 0, 0)","(1, 1)",-856254.1093694959,-856216.8256039922
43,"(0, 1, 4, 6, 9)","(0, 0, 0)","(1, 1)",-856484.2172241255,-856446.9218919756
44,"(0, 1, 4, 7, 8)","(0, 0, 0)","(1, 1)",-863054.5254459112,-863017.2184840926
45,"(0, 1, 4, 7, 9)","(0, 0, 0)","(1, 1)",-858150.9573614384,-858113.6619809627
46,"(0, 1, 4, 8, 9)","(0, 0, 0)","(1, 1)",-850621.5869894584,-850584.2685277793
47,"(0, 1, 5, 6, 7)","(0, 0, 0)","(1, 1)",-886068.501330308,-886031.1714017353
48,"(0, 1, 5, 6, 8)","(0, 0, 0)","(1, 1)",-866787.2270933214,-866749.920179689
49,"(0, 1, 5, 6, 9)","(0, 0, 0)","(1, 1)",-866915.5689749728,-866878.2505613414
50,"(0, 1, 5, 7, 8)","(0, 0, 0)","(1, 1)",-868631.6491276635,-868594.3421658449
51,"(0, 1, 5, 7, 9)","(0, 0, 0)","(1, 1)",-863622.4821104207,-863585.186729945
52,"(0, 1, 5, 8, 9)","(0, 0, 0)","(1, 1)",-855652.6444268823,-855615.3259652031
