fold,test_groups,n_days,mse,mae,qlike,r_squared,date_start,date_end
1,"(0, 1, 2, 3, 4)",303,2.7469571454994356e-07,0.0002742951851942888,-6.701901394596157,0.8072734268054612,2024-01-01,2024-10-29
2,"(0, 1, 2, 3, 5)",276,3.0253059277217183e-07,0.0002904320244122112,-6.460633426504528,0.7982788909916019,2024-01-01,2024-12-09
3,"(0, 1, 2, 3, 6)",284,3.0112106467291736e-07,0.0002817404741742695,-6.604006890090338,0.805582948589766,2024-01-01,2025-01-27
4,"(0, 1, 2, 3, 7)",285,3.6903959225617276e-07,0.0002918253001095139,-6.592222344500388,0.78904606957416,2024-01-01,2025-03-18
5,"(0, 1, 2, 3, 8)",293,2.932875316249055e-07,0.0002895335263826042,-6.675850478426655,0.799677339343538,2024-01-01,2025-05-15
6,"(0, 1, 2, 3, 9)",295,2.7887077321075784e-07,0.0003010400589692962,-6.716245269072037,0.7968137779970416,2024-01-01,2025-07-14
7,"(0, 1, 2, 4, 5)",287,1.9076601390734637e-07,0.0002867613665460045,-6.691062777585607,0.7382307478912429,2024-01-01,2024-12-09
8,"(0, 1, 2, 4, 6)",296,1.8749574572155825e-07,0.00027675395098616755,-6.696738475214274,0.7390745403413906,2024-01-01,2025-01-27
9,"(0, 1, 2, 4, 7)",297,2.410496540601779e-07,0.00027942777483923016,-6.689105825209006,0.7180523407510901,2024-01-01,2025-03-18
10,"(0, 1, 2, 4, 8)",305,1.9217928971360096e-07,0.00029148758119728284,-6.756707099959526,0.723975159288226,2024-01-01,2025-05-15
11,"(0, 1, 2, 4, 9)",307,1.9146991702653802e-07,0.00030787713692727607,-6.788410307556682,0.7123440439363341,2024-01-01,2025-07-14
12,"(0, 1, 2, 5, 6)",267,2.0994244177549403e-07,0.0002966971397500139,-6.475603977444545,0.7422471398218526,2024-01-01,2025-01-27
13,"(0, 1, 2, 5, 7)",269,2.6611320872144574e-07,0.0002958630810419493,-6.463034817084562,0.7195812634718365,2024-01-01,2025-03-18
14,"(0, 1, 2, 5, 8)",277,2.1219792950437973e-07,0.00030894084324971355,-6.55487137453956,0.7335825775820647,2024-01-01,2025-05-15
15,"(0, 1, 2, 5, 9)",279,2.121135548248862e-07,0.0003272429882791117,-6.598140374936458,0.7265031062755997,2024-01-01,2025-07-14
16,"(0, 1, 2, 6, 7)",276,2.5852738506411745e-07,0.000281230412789975,-6.602963716982225,0.7337747672392951,2024-01-01,2025-03-18
17,"(0, 1, 2, 6, 8)",285,2.0631637451084103e-07,0.000295219419790957,-6.674677009105655,0.7391626615424018,2024-01-01,2025-05-15
18,"(0, 1, 2, 6, 9)",287,2.0308537324376038e-07,0.00031195514583648383,-6.712219711684738,0.7323606007318648,2024-01-01,2025-07-14
19,"(0, 1, 2, 7, 8)",285,2.6098219695038205e-07,0.00029633226660130246,-6.668413066523652,0.7188482255959269,2024-01-01,2025-05-15
20,"(0, 1, 2, 7, 9)",288,2.5014712516717656e-07,0.000309306475749526,-6.707051584893259,0.7118435956880216,2024-01-01,2025-07-14
