fold,test_groups,n_days,mse,mae,qlike,r_squared,date_start,date_end
1,"(0, 1, 2, 3, 4)",293,4.216108026003856e-07,0.0003868202283875601,-6.5216213805913945,0.8502595266197599,2024-01-01,2024-10-19
2,"(0, 1, 2, 3, 5)",293,4.439222249329137e-07,0.0003883955090939364,-6.490086812610032,0.8527744892032805,2024-01-01,2024-12-16
3,"(0, 1, 2, 3, 6)",294,4.4610505335199583e-07,0.000386465475635617,-6.441215023860708,0.8442831583736168,2024-01-01,2025-02-13
4,"(0, 1, 2, 3, 7)",293,5.369243717683771e-07,0.0004061180570719211,-6.4495038374664375,0.8246994876050854,2024-01-01,2025-04-12
5,"(0, 1, 2, 3, 8)",294,4.196819254350254e-07,0.00039740775348401754,-6.557400221355753,0.848887683072977,2024-01-01,2025-06-10
6,"(0, 1, 2, 3, 9)",293,4.2449788823426394e-07,0.0004068088903884814,-6.57571693046373,0.8588616334655057,2024-01-01,2025-08-07
7,"(0, 1, 2, 4, 5)",294,3.1581053090948176e-07,0.00038915226593880595,-6.508050792609442,0.7553839760510179,2024-01-01,2024-12-16
8,"(0, 1, 2, 4, 6)",296,3.1359253633487567e-07,0.0003836161458605511,-6.470184322942259,0.7414357188195703,2024-01-01,2025-02-13
9,"(0, 1, 2, 4, 7)",295,3.958047824820196e-07,0.0003998638962668516,-6.479299342888691,0.7331333834138778,2024-01-01,2025-04-12
10,"(0, 1, 2, 4, 8)",296,3.0807060793605887e-07,0.000410295944938426,-6.574040831745979,0.724304822432013,2024-01-01,2025-06-10
11,"(0, 1, 2, 4, 9)",295,3.1502039819186454e-07,0.0004215618624260136,-6.5897845556555765,0.7430515031739768,2024-01-01,2025-08-07
12,"(0, 1, 2, 5, 6)",294,3.3189108810709505e-07,0.00038197290547900754,-6.49737331316214,0.7821665228629574,2024-01-01,2025-02-13
13,"(0, 1, 2, 5, 7)",294,4.1881285606906554e-07,0.0004014715670078999,-6.474093903000638,0.7550481426799884,2024-01-01,2025-04-12
14,"(0, 1, 2, 5, 8)",295,3.1730287394039764e-07,0.00040186503324674385,-6.573020572278733,0.7620264769253821,2024-01-01,2025-06-10
15,"(0, 1, 2, 5, 9)",294,3.231388038819802e-07,0.0004122445287047327,-6.589374569930244,0.7790852831037821,2024-01-01,2025-08-07
16,"(0, 1, 2, 6, 7)",294,4.2282770355843036e-07,0.00040151339555494545,-6.428282017631589,0.7480667153604295,2024-01-01,2025-04-12
17,"(0, 1, 2, 6, 8)",296,3.146069156015682e-07,0.0003952157495020486,-6.538475250655554,0.7506371812938473,2024-01-01,2025-06-10
18,"(0, 1, 2, 6, 9)",295,3.199033186800739e-07,0.0004049429443374898,-6.5562943399187485,0.7651402887029228,2024-01-01,2025-08-07
19,"(0, 1, 2, 7, 8)",294,3.9509056064414483e-07,0.0004104922466704086,-6.542918314952733,0.7493251961579205,2024-01-01,2025-06-10
20,"(0, 1, 2, 7, 9)",294,3.9843127031283955e-07,0.00041936300912646924,-6.558748642145837,0.7558798410994102,2024-01-01,2025-08-07
21,"(0, 1, 2, 8, 9)",294,3.262936919513727e-07,0.00044062389415183614,-6.6372441830128075,0.7598411129769943,2024-01-01,2025-08-07
22,"(0, 1, 3, 4, 5)",293,4.3486948452191265e-07,0.0003830897083281702,-6.48078811237787,0.8516056009983943,2024-01-01,2024-12-16
23,"(0, 1, 3, 4, 6)",295,4.354153553143073e-07,0.0003806764939406745,-6.435260872170099,0.8420894311238983,2024-01-01,2025-02-13
